Bug ID,Title,Category,Severity,Priority,Status,Reporter,Date Reported,Environment,Description,Steps to Reproduce,Expected Behavior,Actual Behavior,Evidence,Impact,Workaround Available,Fix Description,Verification Status,Resolution Date
BUG-2025-01-01-001,Login fails with valid credentials,Authentication,High,P2,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"Users cannot login with valid credentials, getting 'Invalid credentials' error","1. Navigate to login page 2. Enter valid email: demo@example.com 3. Enter valid password: password123 4. Click Login button","User should be successfully logged in and redirected to dashboard","Error message 'Invalid credentials' appears, user remains on login page",Screenshots: login-error-001.png,High - blocks user access to application,No,Pending investigation,Not verified,
BUG-2025-01-01-002,Dashboard calorie chart not displaying,Dashboard,Medium,P3,Open,Test Team,2025-01-01,Firefox 118/Windows 11,"Calorie progress chart on dashboard shows empty state even when food entries exist","1. Login successfully 2. Add food entries for current day 3. Navigate to dashboard 4. View calorie section","Chart should display calorie consumption progress","Chart area is blank/empty with no data visualization",Screenshots: dashboard-chart-002.png,Medium - affects data visualization,Yes - can view data in text format,Pending investigation,Not verified,
BUG-2025-01-01-003,Custom food creation form validation error,Custom Foods,Medium,P3,Open,Test Team,2025-01-01,Chrome 120/macOS,"Form shows validation error for required fields even when all fields are filled","1. Navigate to Custom Foods 2. Click Add Custom Food 3. Fill all required fields: name='Test Food' calories='100' serving_unit='piece' category='Snack' 4. Submit form","Form should submit successfully and create custom food","Validation error appears: 'Please fill all required fields'",Screenshots: custom-food-validation-003.png,Medium - prevents custom food creation,No,Pending investigation,Not verified,
BUG-2025-01-01-004,Chatbot returns 'Authentication Error' for logged-in users,AI Chatbot,High,P2,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"Chatbot shows authentication error even when user is properly logged in","1. Login successfully 2. Navigate to Chatbot page 3. Enter query 'What should I eat for breakfast?' 4. Click Send","Chatbot should provide food recommendations","Error message: 'Authentication required. Please log in again.'",Screenshots: chatbot-auth-004.png Console logs: auth-error-004.txt,High - core feature not working,No,Pending investigation,Not verified,
BUG-2025-01-01-005,USDA food search returns no results,USDA Integration,Medium,P3,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"USDA food search returns 'No foods found' for common food items","1. Navigate to USDA Food Search 2. Enter search term 'apple' 3. Click Search","Should return list of apple-related foods from USDA database","Message: 'No foods found for your search'",Screenshots: usda-search-005.png,Medium - limits food database access,Yes - can use custom foods instead,Pending investigation,Not verified,
BUG-2025-01-01-006,Profile update fails with decimal weight values,Profile Management,Medium,P3,Open,Test Team,2025-01-01,Firefox 118/Windows 11,"Cannot update profile when entering decimal weight values like 70.5","1. Navigate to Profile page 2. Update weight to '70.5' 3. Click Save Changes","Profile should update successfully with decimal weight","Validation error: 'Weight must be a whole number'",Screenshots: profile-decimal-006.png,Medium - limits precise weight tracking,Yes - can round to whole numbers,Pending investigation,Not verified,
BUG-2025-01-01-007,Food entry deletion confirmation dialog missing,Food Entries,Low,P4,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"Deleting food entries doesn't show confirmation dialog, deletes immediately","1. Go to Food Entries 2. Click delete button on any food entry","Should show confirmation dialog before deletion","Food entry is deleted immediately without confirmation",Screenshots: food-delete-007.png,Low - UX issue but functional,No,Pending investigation,Not verified,
BUG-2025-01-01-008,Password reset email not received,Authentication,High,P2,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"Password reset emails are not being sent to users","1. Go to login page 2. Click 'Forgot Password' 3. Enter valid email address 4. Click Send Reset Link 5. Check email inbox","Should receive password reset email within few minutes","No email received after 30 minutes, checked spam folder",Screenshots: password-reset-008.png,High - blocks password recovery,No,Pending investigation,Not verified,
BUG-2025-01-01-009,Mobile responsive layout broken on food entries page,UI/UX,Medium,P3,Open,Test Team,2025-01-01,Mobile Chrome/Android,"Food entries page layout is broken on mobile devices, elements overlap","1. Open application on mobile device 2. Login successfully 3. Navigate to Food Entries page","Page should be properly responsive with readable layout","Text overlaps, buttons are cut off, scrolling issues",Screenshots: mobile-responsive-009.png,Medium - affects mobile users,Yes - use desktop version,Pending investigation,Not verified,
BUG-2025-01-01-010,Session timeout not handled gracefully,Authentication,Medium,P3,Open,Test Team,2025-01-01,Chrome 120/Windows 11,"When session expires, users get generic error instead of login redirect","1. Login to application 2. Wait for session to expire (or manually expire) 3. Try to perform any action","Should redirect to login page with appropriate message","Generic error message appears, page becomes unresponsive",Screenshots: session-timeout-010.png,Medium - poor user experience,Yes - refresh page manually,Pending investigation,Not verified,
